date,symbol,price,eps,book_value,sales,dividend,market_cap,debt,cash,ebitda
2025-05-28,601318.SH,48.970000000000006,1.54,51.89703884467592,0.0,0.44759002868722225,886731228495.1501,11844014000000.0,754730000000.0,32419200000.0
2025-05-29,601318.SH,49.2,1.54,51.89703884467592,0.0,0.44759002868722225,890895986154.0,11844014000000.0,754730000000.0,32419200000.0
2025-05-30,601318.SH,48.96,1.54,51.89703884467592,0.0,0.44759002868722225,886550152075.2001,11844014000000.0,754730000000.0,32419200000.0
2025-06-03,601318.SH,49.53,1.54,51.89703884467592,0.0,0.44759002868722225,896871508012.35,11844014000000.0,754730000000.0,32419200000.0
2025-06-04,601318.SH,49.44,1.54,51.89703884467592,0.0,0.44759002868722225,895241820232.7999,11844014000000.0,754730000000.0,32419200000.0
2025-06-05,601318.SH,49.67,1.54,51.89703884467592,0.0,0.44759002868722225,899406577891.65,11844014000000.0,754730000000.0,32419200000.0
2025-06-06,601318.SH,49.09,1.54,51.89703884467592,0.0,0.44759002868722225,888904145534.55,11844014000000.0,754730000000.0,32419200000.0
2025-06-09,601318.SH,49.4,1.54,51.89703884467592,0.0,0.44759002868722225,894517514553.0,11844014000000.0,754730000000.0,32419200000.0
2025-06-10,601318.SH,49.11,1.54,51.89703884467592,0.0,0.44759002868722225,889266298374.45,11844014000000.0,754730000000.0,32419200000.0
2025-06-11,601318.SH,50.14,1.54,51.89703884467592,0.0,0.44759002868722225,907917169629.3,11844014000000.0,754730000000.0,32419200000.0
2025-06-12,601318.SH,50.49,1.54,51.89703884467592,0.0,0.44759002868722225,914254844327.55,11844014000000.0,754730000000.0,32419200000.0
2025-06-13,601318.SH,50.160000000000004,1.54,51.89703884467592,0.0,0.44759002868722225,908279322469.2001,11844014000000.0,754730000000.0,32419200000.0
2025-06-16,601318.SH,50.0,1.54,51.89703884467592,0.0,0.44759002868722225,905382099750.0,11844014000000.0,754730000000.0,32419200000.0
2025-06-17,601318.SH,49.91,1.54,51.89703884467592,0.0,0.44759002868722225,903752411970.45,11844014000000.0,754730000000.0,32419200000.0
2025-06-18,601318.SH,49.49,1.54,51.89703884467592,0.0,0.44759002868722225,896147202332.55,11844014000000.0,754730000000.0,32419200000.0
2025-06-19,601318.SH,48.88,1.54,51.89703884467592,0.0,0.44759002868722225,885101540715.6001,11844014000000.0,754730000000.0,32419200000.0
2025-06-20,601318.SH,50.419999999999995,1.54,51.89703884467592,0.0,0.44759002868722225,912987309387.8999,11844014000000.0,754730000000.0,32419200000.0
2025-06-23,601318.SH,50.78,1.54,51.89703884467592,0.0,0.44759002868722225,919506060506.1,11844014000000.0,754730000000.0,32419200000.0
2025-06-24,601318.SH,52.470000000000006,1.54,51.89703884467592,0.0,0.44759002868722225,950107975477.6501,11844014000000.0,754730000000.0,32419200000.0
2025-06-25,601318.SH,53.559999999999995,1.54,51.89703884467592,0.0,0.44759002868722225,969845305252.2,11844014000000.0,754730000000.0,32419200000.0
2025-06-26,601318.SH,53.26,1.54,51.89703884467592,0.0,0.44759002868722225,964413012653.7,11844014000000.0,754730000000.0,32419200000.0
2025-06-27,601318.SH,52.64,1.54,51.89703884467592,0.0,0.44759002868722225,953186274616.8,11844014000000.0,754730000000.0,32419200000.0
2025-06-30,601318.SH,52.78,3.87,52.13003439435406,0.0,1.1273748401717283,955721344496.1,12166459000000.0,698260000000.0,81656400000.0
2025-07-01,601318.SH,53.0,3.87,52.13003439435406,0.0,1.1273748401717283,959705025735.0,12166459000000.0,698260000000.0,81656400000.0
2025-07-02,601318.SH,53.11,3.87,52.13003439435406,0.0,1.1273748401717283,961696866354.45,12166459000000.0,698260000000.0,81656400000.0
2025-07-03,601318.SH,53.1,3.87,52.13003439435406,0.0,1.1273748401717283,961515789934.5,12166459000000.0,698260000000.0,81656400000.0
2025-07-04,601318.SH,53.87,3.87,52.13003439435406,0.0,1.1273748401717283,975458674270.6499,12166459000000.0,698260000000.0,81656400000.0
2025-07-07,601318.SH,53.73,3.87,52.13003439435406,0.0,1.1273748401717283,972923604391.35,12166459000000.0,698260000000.0,81656400000.0
2025-07-08,601318.SH,53.75,3.87,52.13003439435406,0.0,1.1273748401717283,973285757231.25,12166459000000.0,698260000000.0,81656400000.0
2025-07-09,601318.SH,53.2,3.87,52.13003439435406,0.0,1.1273748401717283,963326554134.0,12166459000000.0,698260000000.0,81656400000.0
2025-07-10,601318.SH,54.43,3.87,52.13003439435406,0.0,1.1273748401717283,985598953787.85,12166459000000.0,698260000000.0,81656400000.0
2025-07-11,601318.SH,55.01,3.87,52.13003439435406,0.0,1.1273748401717283,996101386144.95,12166459000000.0,698260000000.0,81656400000.0
2025-07-14,601318.SH,54.87,3.87,52.13003439435406,0.0,1.1273748401717283,993566316265.6499,12166459000000.0,698260000000.0,81656400000.0
2025-07-15,601318.SH,54.4,3.87,52.13003439435406,0.0,1.1273748401717283,985055724528.0,12166459000000.0,698260000000.0,81656400000.0
2025-07-16,601318.SH,54.129999999999995,3.87,52.13003439435406,0.0,1.1273748401717283,980166661189.35,12166459000000.0,698260000000.0,81656400000.0
2025-07-17,601318.SH,54.11,3.87,52.13003439435406,0.0,1.1273748401717283,979804508349.45,12166459000000.0,698260000000.0,81656400000.0
2025-07-18,601318.SH,54.37,3.87,52.13003439435406,0.0,1.1273748401717283,984512495268.1499,12166459000000.0,698260000000.0,81656400000.0
2025-07-21,601318.SH,54.489999999999995,3.87,52.13003439435406,0.0,1.1273748401717283,986685412307.5499,12166459000000.0,698260000000.0,81656400000.0
2025-07-22,601318.SH,54.0,3.87,52.13003439435406,0.0,1.1273748401717283,977812667730.0,12166459000000.0,698260000000.0,81656400000.0
2025-07-23,601318.SH,55.3,3.87,52.13003439435406,0.0,1.1273748401717283,1001352602323.5,12166459000000.0,698260000000.0,81656400000.0
2025-07-24,601318.SH,55.94,3.87,52.13003439435406,0.0,1.1273748401717283,1012941493200.2999,12166459000000.0,698260000000.0,81656400000.0
2025-07-25,601318.SH,55.379999999999995,3.87,52.13003439435406,0.0,1.1273748401717283,1002801213683.1,12166459000000.0,698260000000.0,81656400000.0
2025-07-28,601318.SH,57.39,3.87,52.13003439435406,0.0,1.1273748401717283,1039197574093.05,12166459000000.0,698260000000.0,81656400000.0
2025-07-29,601318.SH,56.79,3.87,52.13003439435406,0.0,1.1273748401717283,1028332988896.0499,12166459000000.0,698260000000.0,81656400000.0
2025-07-30,601318.SH,58.01,3.87,52.13003439435406,0.0,1.1273748401717283,1050424312129.95,12166459000000.0,698260000000.0,81656400000.0
2025-07-31,601318.SH,55.99,3.87,52.13003439435406,0.0,1.1273748401717283,1013846875300.05,12166459000000.0,698260000000.0,81656400000.0
2025-08-01,601318.SH,55.49999999999999,3.87,52.13003439435406,0.0,1.1273748401717283,1004974130722.4999,12166459000000.0,698260000000.0,81656400000.0
2025-08-04,601318.SH,55.51,3.87,52.13003439435406,0.0,1.1273748401717283,1005155207142.45,12166459000000.0,698260000000.0,81656400000.0
2025-08-05,601318.SH,56.44,3.87,52.13003439435406,0.0,1.1273748401717283,1021995314197.7999,12166459000000.0,698260000000.0,81656400000.0
2025-08-06,601318.SH,56.36,3.87,52.13003439435406,0.0,1.1273748401717283,1020546702838.2,12166459000000.0,698260000000.0,81656400000.0
2025-08-07,601318.SH,56.18,3.87,52.13003439435406,0.0,1.1273748401717283,1017287327279.1,12166459000000.0,698260000000.0,81656400000.0
2025-08-08,601318.SH,55.839999999999996,3.87,52.13003439435406,0.0,1.1273748401717283,1011130729000.7999,12166459000000.0,698260000000.0,81656400000.0
2025-08-11,601318.SH,55.769999999999996,3.87,52.13003439435406,0.0,1.1273748401717283,1009863194061.1499,12166459000000.0,698260000000.0,81656400000.0
2025-08-12,601318.SH,56.05,3.87,52.13003439435406,0.0,1.1273748401717283,1014933333819.75,12166459000000.0,698260000000.0,81656400000.0
2025-08-13,601318.SH,55.91,3.87,52.13003439435406,0.0,1.1273748401717283,1012398263940.45,12166459000000.0,698260000000.0,81656400000.0
2025-08-14,601318.SH,56.92,3.87,52.13003439435406,0.0,1.1273748401717283,1030686982355.4,12166459000000.0,698260000000.0,81656400000.0
2025-08-15,601318.SH,57.099999999999994,3.87,52.13003439435406,0.0,1.1273748401717283,1033946357914.4999,12166459000000.0,698260000000.0,81656400000.0
2025-08-18,601318.SH,56.64,3.87,52.13003439435406,0.0,1.1273748401717283,1025616842596.8,12166459000000.0,698260000000.0,81656400000.0
2025-08-19,601318.SH,55.49999999999999,3.87,52.13003439435406,0.0,1.1273748401717283,1004974130722.4999,12166459000000.0,698260000000.0,81656400000.0
2025-08-20,601318.SH,56.49999999999999,3.87,52.13003439435406,0.0,1.1273748401717283,1023081772717.4999,12166459000000.0,698260000000.0,81656400000.0
